Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,Viktor & Rolf Flowerbomb Eau de Parfum 100ml + 70g Candle Gift Set​,https://www.boots.com/flowerbomb-eau-de-parfum-100ml-70g-candle-gift-set%E2%80%8B-10340051,96.75,10340051,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,Mugler Angel Elixir Eau de Parfum 10ml + 50ml Gift Set,https://www.boots.com/mugler-angel-elixir-eau-de-parfum-10ml-50ml-gift-set-10340054,70.50,10340054,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,Mugler Alien Goddess Eau de Parfum 60ml + 10ml Gift Set,https://www.boots.com/mugler-alien-goddess-eau-de-parfum-60ml-10ml-gift-set-10340055,72.00,10340055,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,Mugler Angel Eau de Parfum 60ml + 10ml Gift Set,https://www.boots.com/mugler-angel-eau-de-parfum-60ml-10ml-gift-set-10340057,72.00,10340057,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,YSL Black Opium Illicit Green Eau de Parfum 75ml,https://www.boots.com/ysl-black-opium-illicit-green-eau-de-parfum-75ml-10306771,105.00,10306771,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,DIOR Miss Dior Eau de Parfum 100ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-100ml-10300556,137.00,10300556,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 100ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-spray-100ml-10012569,136.00,10012569,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,Giorgio Armani My Way Eau de Parfum 50ml Refillable,https://www.boots.com/giorgio-armani-my-way-eau-de-parfum-50ml-refillable-10279632,92.00,10279632,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,Lancôme La Vie Est Belle Intensément Eau de Parfum 50ml,https://www.boots.com/lanc%C3%B4me-la-vie-est-belle-intens%C3%A9ment-eau-de-parfum-50ml-10274773,97.00,10274773,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,CHANEL N°5 Eau de Parfum Spray 100ml,https://www.boots.com/chanel-no5-eau-de-parfum-spray-100ml-10012525,136.00,10012525,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
11,brand,DIOR J'adore L'Or Essence de Parfum 50ml,https://www.boots.com/dior-jadore-lor-essence-de-parfum-50ml-10333154,144.00,10333154,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
12,brand,Emporio Armani Diamonds Eau de Parfum 50ml,https://www.boots.com/emporio-armani-diamonds-eau-de-parfum-50ml-10070841,60.00,10070841,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
13,brand,ARI by Ariana Grande Eau de Parfum 100ml,https://www.boots.com/ari-by-ariana-grande-eau-de-parfum-spray-100ml-10202110,50.00,10202110,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
14,brand,MUGLER Alien Goddess Refillable Eau de Parfum 60ml,https://www.boots.com/mugler-alien-goddess-eau-de-parfum-60ml-10299391,92.00,10299391,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
15,brand,Emporio Armani Diamonds Rose Eau de Toilette 50ml,https://www.boots.com/emporio-armani-diamonds-rose-eau-de-toilette-50ml-10156910,45.00,10156910,2023-12-26,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
